name,phone,location,service_type,capacity,num_inspections,distance_to_coquitlam_central_station,coordinates
Canyon Springs Montessori School & Childcare Centre,(604) 945-0566,"2910 Walton Ave Coquitlam, V3B 2W3","302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",50,5,1.64,"49.28968075, -122.801013310292"
Ranch Park Kids Place Inc.,(604) 942-6474,"2701 Spuraway Ave Coquitlam, V3C 2C4","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",82,5,1.74,"49.2631831, -122.8164399"
"Good Shepherd Daycare, The",(604) 771-7959,"1320 Johnson St Coquitlam, V3B 4T5","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",25,5,1.92,"49.29218235, -122.801139810916"
Little Rainbow House Preschool & Daycare,(604) 945-2727,"700 Clearwater Way Coquitlam, V3C 6A3","303 Preschool (30 months to school age), 305 Group Child Care (School Age)",20,3,2.1,"49.2567691, -122.8086778"
Core Education and Fine Arts,(778) 668-8569,"201 - 3380 David Ave Coquitlam, V3E 3G8","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",84,5,2.25,"49.293216, -122.7874584"
Little Dolphins Daycare Ltd,(604) 469-4443,"107 - 1135 Pipeline Rd Coquitlam, V3B 0E1",302 Group Child Care (30 months to school age),23,2,2.43,"49.2926979, -122.7812341"
Wind and Tide Preschool - Eagle Ridge,(604) 464-1817,"1160 Lansdowne Dr Coquitlam, V3B 5V8","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age)",40,6,2.65,"49.297165, -122.81376"
DreamKids Childcare,(604) 474-1010,"207 - 1194 Lansdowne Dr Coquitlam, V3E 1J7","301 Group Child Care (under 36 months), 310 Multi-Age Child Care",20,5,2.65,"49.297165, -122.81376"
Bramblewood Montessori Preschool & Day Center,(604) 942-5430,"1501 Bramble Lane Coquitlam, V3E 2S7","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",86,5,2.65,"49.2976802, -122.8116759"
New Horizon Montessori School Ltd.,(604) 552-7542,"1415 Noons Creek Dr Coquitlam, V3E 2T7","302 Group Day Care >30 mos, 303 Preschool, 305 Out of School Care, 310 Multi-Age Child Care",65,5,2.67,"49.2961385, -122.8179668"
Learn & Play Preschool,(604) 464-9656,"1237 Beedie Dr Coquitlam, V3E 1C3",303 Preschool,20,6,3.01,"49.2904249, -122.7665684"
Over The Rainbow - Austin,(604) 939-2726,"2600 Austin Ave Coquitlam, V3K 6C4","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",62,4,3.25,"49.24870445, -122.820365460477"
Como Lake Kids Village Daycare,(778) 998-4747,"825 St Laurence St Coquitlam, V3J 6G7","302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",32,5,3.26,"49.2641568, -122.8423721"
Over The Rainbow - Regan / Cavalry Baptist Church,(604) 939-2755,"1636 Regan Ave Coquitlam, V3J 3B8","303 Preschool (30 months to school age), 305 Group Child Care (School Age)",50,4,3.65,"49.2615685, -122.8465309"
Baker's Corner Preschool,(604) 461-5848,"1563 Regan Ave Coquitlam, V3J 3B7",303 Preschool (30 months to school age),16,3,3.77,"49.26219955, -122.848721750468"
Parkland Players,(604) 936-7005,"1563 Regan Ave Coquitlam, V3J 3B7","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",95,5,3.77,"49.26219955, -122.848721750468"
Children's House Montessori Preschool,(604) 931-1311,"1563 Regan Ave Coquitlam, V3J 3B7","303 Preschool (30 months to school age), 302 Group Child Care (30 months to school age)",20,6,3.77,"49.26219955, -122.848721750468"
Leigh Elementary/Out of School Care,(778) 881-6475,"1230 Soball St Coquitlam, V3B 3H7",305 Out of School Care,24,6,3.82,"49.2870373, -122.751301144493"
Green Apple Daycare/Out of School Care,(604) 931-5595,"1504 Sprice Ave Coquitlam, V3J 2P6","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",49,6,3.87,"49.2571341, -122.8465108"
"1,2,3, A.B.C. Montessori Infant/Toddler Center",(604) 931-7206,"737 Poirier St Coquitlam, V3J 6B8",301 Group Child Care (under 36 months),12,5,4.0,"49.2549261, -122.8464632"
Happy Days Playschool,(604) 936-0722,"489 Mundy St Coquitlam, V3K 5N2",303 Preschool (30 months to school age),20,6,4.35,"49.2425646, -122.8342176"
Montgomery Centre,(604) 936-4261,"380 Montgomery St Coquitlam, V3K 5G2",312 Child-minding,48,5,4.37,"49.2446972, -122.8391361"
Step Together Learning Centre,(604) 939-1020,"960 Lillian St Coquitlam, V3J 5C7","302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",45,5,4.44,"49.2662503, -122.8603046"
Harbour View Childcare Inc.,(604) 931-3033,"960 Lillian St Coquitlam, V3J 5C7","302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",20,5,4.44,"49.2662503, -122.8603046"
Westwood Montessori (Burke Mountain),(604) 469-0599,"1401 Kingston St Coquitlam, V3E 3H1","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",94,4,4.75,"49.2995228, -122.7471349"
Rainforest Learning Centre Inc. - Coquitlam,(778) 355-0555,"101 - 511 Rochester Ave Coquitlam, V3K 0A2","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",37,4,4.76,"49.2450185, -122.847561"
Little Neighbours Nursery School,(604) 521-5158,"155 Finnigan St Coquitlam, V3K 5J2",303 Preschool,20,6,4.96,"49.2371234, -122.8368682"
Friends and Neighbours Together Childcare Centre Ltd.,(604) 526-3223,"155 Finnigan Street Coquitlam, V3K 5J2","305 Group Child Care (School Age), 302 Group Child Care (30 months to school age)",45,5,4.96,"49.2371234, -122.8368682"
Vanier Centre,(604) 945-7311,"1600 King Albert Ave Coquitlam, V3J 1Y5",312 Child-minding,24,5,5.25,"49.251452, -122.8633358"
Little Treasures Daycare Inc,(604) 931-5593,"450 Blue Mountain St Coquitlam, V3K 4K5","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",36,4,5.35,"49.2568839, -122.8689251"
Sidekicks Childcare Centre,(604) 553-6007,"1550 Booth Ave Coquitlam, V3K 1B9",302 Group Child Care (30 months to school age),16,3,5.35,"49.2381582, -122.8481848"
HelloKids Childcare Centre,(604) 261-9713,"1020 Ridgeway Ave Coquitlam, V3J 1S5","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",28,4,5.37,"49.2496514, -122.8636014"
Able Child Academy Early Learning Society,(604) 492-3223,"2200 Austin Ave Coquitlam, V3K 3S1","302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",22,5,5.49,"49.2489576, -122.864884"
Little Eagle Childcare Centre Ltd,(604) 931-6777,"200 - 2188 Austin Ave Coquitlam, V3K 3R8",302 Group Child Care (30 months to school age),20,6,5.49,"49.2489576, -122.864884"
Bright Beginnings Infant / Child Care,(604) 613-1022,"1393 Austin Ave Coquitlam, V3K 3P6",301 Group Child Care (under 36 months),12,2,5.49,"49.2489576, -122.864884"
White Swan Montessori Education Centre,(604) 931-7926,"800 Egmont Ave Coquitlam, V3J 4J8",302 Group Child Care (30 months to school age),25,5,5.7,"49.266213, -122.877993505155"
Hi 'N' Bye Daycare,(604) 937-5437,"411 Schoolhouse St Coquitlam, V3K 4Y7","303 Preschool (30 months to school age), 305 Group Child Care (School Age)",55,5,6.01,"49.2328117, -122.8525786"
Glowing Hearts Daycare,(604) 936-9890,"705 Delestre Ave Coquitlam, V3K 2G1","302 Group Child Care (30 months to school age), 305 Group Child Care (School Age), 310 Multi-Age Child Care",66,2,6.1,"49.2417199, -122.8675901"
Immaculate Heart Early Childhood Education Centre,(604) 939-3682,"789 Alderson Ave Coquitlam, V3K 1T9","302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",70,5,6.1,"49.2397141, -122.8650389"
Futurekids Daycare Centre,(604) 937-5212,"600 Fairview St Coquitlam, V3J 4A7","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",45,2,6.3,"49.2566855, -122.8828827"
Our Lady Of Fatima Pre-School,(604) 936-4250,"315 Walker St Coquitlam, V3K 4C7",303 Preschool,20,6,6.61,"49.2432868, -122.8777379"
Mountain View Group Daycare 7,(604) 937-3020,"740 Smith Ave Coquitlam, V3J 4E7","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",90,5,6.85,"49.2603502, -122.8922801"
Bee House Montessori Day Care Ltd ,(604) 432-1857,"283 Hart St Coquitlam, V3K 4B1","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",32,1,7.13,"49.2379068, -122.8808194"
Elation Education Child Care Centre,(604) 618-8236,"A & B - 938 Brunette Ave Coquitlam, V3K 1C9","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",18,2,7.22,"49.2344811, -122.878366"
